"Hostname","CreationTime","Job Name","FileSize(GB)","Full/Inc","Job Type","FileName","IsAvailable","FilePath","RepoName","RepoID"
"ATLDEMODC01","5/6/2020 2:12:34 AM","VMware - Veeam Explorers","1.4786","Increment","VMware Backup","ATLDEMODC01.vm-3270D2020-05-06T021149_4F8C.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-06T021149_4F8C.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLDEMODC01","5/7/2020 2:12:37 AM","VMware - Veeam Explorers","2.5062","Increment","VMware Backup","ATLDEMODC01.vm-3270D2020-05-07T021153_D36A.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-07T021153_D36A.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLEXCH2016","5/7/2020 2:13:02 AM","VMware - Veeam Explorers","10.6136","Increment","VMware Backup","ATLEXCH2016.vm-30D2020-05-07T021153_5DE4.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLEXCH2016.vm-30D2020-05-07T021153_5DE4.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLSRP2016","5/7/2020 2:27:51 AM","VMware - Veeam Explorers","3.8856","Increment","VMware Backup","ATLSRP2016.vm-33D2020-05-07T021153_D3DE.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLSRP2016.vm-33D2020-05-07T021153_D3DE.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLEXCH2016","5/8/2020 2:01:44 AM","VMware - Veeam Explorers","9.5922","Increment","VMware Backup","ATLEXCH2016.vm-30D2020-05-08T020029_B40C.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLEXCH2016.vm-30D2020-05-08T020029_B40C.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLDEMODC01","5/8/2020 2:01:17 AM","VMware - Veeam Explorers","0.852","Increment","VMware Backup","ATLDEMODC01.vm-3270D2020-05-08T020029_0498.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-08T020029_0498.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLSRP2016","5/8/2020 2:17:34 AM","VMware - Veeam Explorers","3.7883","Increment","VMware Backup","ATLSRP2016.vm-33D2020-05-08T020029_CF5E.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLSRP2016.vm-33D2020-05-08T020029_CF5E.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLSRP2016","5/9/2020 2:41:45 AM","VMware - Veeam Explorers","16.4691","Full","VMware Backup","ATLSRP2016.vm-33D2020-05-09T024412_939E.vbk","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLSRP2016.vm-33D2020-05-09T024412_939E.vbk","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLEXCH2016","5/9/2020 2:26:20 AM","VMware - Veeam Explorers","31.0616","Full","VMware Backup","ATLEXCH2016.vm-30D2020-05-09T024412_7082.vbk","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLEXCH2016.vm-30D2020-05-09T024412_7082.vbk","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLDEMODC01","5/9/2020 2:13:21 AM","VMware - Veeam Explorers","13.5151","Full","VMware Backup","ATLDEMODC01.vm-3270D2020-05-09T024412_6BC8.vbk","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-09T024412_6BC8.vbk","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLDEMODC01","5/10/2020 2:13:12 AM","VMware - Veeam Explorers","0.8594","Increment","VMware Backup","ATLDEMODC01.vm-3270D2020-05-10T021227_EAD9.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-10T021227_EAD9.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLDEMODC01","5/11/2020 2:01:18 AM","VMware - Veeam Explorers","1.0325","Increment","VMware Backup","ATLDEMODC01.vm-3270D2020-05-11T020032_D75F.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-11T020032_D75F.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLDEMODC01","5/12/2020 2:01:11 AM","VMware - Veeam Explorers","0.746","Increment","VMware Backup","ATLDEMODC01.vm-3270D2020-05-12T020020_3978.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-12T020020_3978.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLDEMODC01","5/13/2020 2:13:07 AM","VMware - Veeam Explorers","1.0467","Increment","VMware Backup","ATLDEMODC01.vm-3270D2020-05-13T021221_FA46.vib","True","/home/admin/ATLOSECANTRAL/backups/VMware - Veeam Explorers/ATLDEMODC01.vm-3270D2020-05-13T021221_FA46.vib","EXAGRID - Accelerated Data Mover","ea0aba6d-f15e-40ee-9577-3e4fda07e95d"
"ATLOSEWEST-WinAgent","5/14/2019 12:50:04 PM","VMware - Win/Linux -> Azure Blob","8.4195","Full","VMware Backup","ATLOSEWEST-WinAgent.vm-422D2019-05-14T124905_B782.vbk","False","ATLOSEWEST-WinAgent.vm-422D2019-05-14T124905_B782.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-LinuxAgent","5/14/2019 12:50:02 PM","VMware - Win/Linux -> Azure Blob","0.8293","Full","VMware Backup","ATLOSEWEST-LinuxAgent.vm-430D2019-05-14T124905_F338.vbk","False","ATLOSEWEST-LinuxAgent.vm-430D2019-05-14T124905_F338.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-LinuxAgent","5/14/2019 12:55:39 PM","VMware - Win/Linux -> Azure Blob","0.0206","Increment","VMware Backup","ATLOSEWEST-LinuxAgent.vm-430D2019-05-14T125442_61CB.vib","False","ATLOSEWEST-LinuxAgent.vm-430D2019-05-14T125442_61CB.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-WinAgent","5/14/2019 12:55:39 PM","VMware - Win/Linux -> Azure Blob","0.0301","Increment","VMware Backup","ATLOSEWEST-WinAgent.vm-422D2019-05-14T125442_9BA3.vib","False","ATLOSEWEST-WinAgent.vm-422D2019-05-14T125442_9BA3.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-WinAgent","5/17/2019 7:18:35 AM","VMware - Win/Linux -> Azure Blob","8.3384","Full","VMware Backup","ATLOSEWEST-WinAgent.vm-422D2019-05-17T071733_2D35.vbk","False","ATLOSEWEST-WinAgent.vm-422D2019-05-17T071733_2D35.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-LinuxAgent","5/17/2019 7:18:32 AM","VMware - Win/Linux -> Azure Blob","0.8293","Full","VMware Backup","ATLOSEWEST-LinuxAgent.vm-430D2019-05-17T071733_731E.vbk","False","ATLOSEWEST-LinuxAgent.vm-430D2019-05-17T071733_731E.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-LinuxAgent","8/27/2019 10:38:16 AM","VMware - Win/Linux -> Azure Blob","0.1633","Increment","VMware Backup","ATLOSEWEST-LinuxAgent.vm-430D2019-08-27T103656_CB2F.vib","False","ATLOSEWEST-LinuxAgent.vm-430D2019-08-27T103656_CB2F.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-WinAgent","8/27/2019 10:38:16 AM","VMware - Win/Linux -> Azure Blob","1.8371","Increment","VMware Backup","ATLOSEWEST-WinAgent.vm-422D2019-08-27T103656_33EA.vib","False","ATLOSEWEST-WinAgent.vm-422D2019-08-27T103656_33EA.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-LinuxAgent","8/28/2019 9:51:47 AM","VMware - Win/Linux -> Azure Blob","0.8392","Full","VMware Backup","ATLOSEWEST-LinuxAgent.vm-430D2019-08-28T095026_C714.vbk","False","ATLOSEWEST-LinuxAgent.vm-430D2019-08-28T095026_C714.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLOSEWEST-WinAgent","8/28/2019 9:51:47 AM","VMware - Win/Linux -> Azure Blob","8.1488","Full","VMware Backup","ATLOSEWEST-WinAgent.vm-422D2019-08-28T095026_4892.vbk","False","ATLOSEWEST-WinAgent.vm-422D2019-08-28T095026_4892.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLUbunutu","4/5/2020 10:01:39 PM","VMware - Cloudian Immutable","0.0167","Full","VMware Backup","ATLUbunutu.vm-69397D2020-04-11T223304_7346.vbk","False","ATLUbunutu.vm-69397D2020-04-11T223304_7346.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/13/2020 10:01:28 PM","VMware - Cloudian Immutable","11.7091","Full","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-13T220335_C96A.vbk","False","ATLPOstgreSQL.vm-80402D2020-06-13T220335_C96A.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/14/2020 10:01:37 PM","VMware - Cloudian Immutable","0.1614","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-14T220038_D2A0.vib","False","ATLPOstgreSQL.vm-80402D2020-06-14T220038_D2A0.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/15/2020 10:01:18 PM","VMware - Cloudian Immutable","0.168","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-15T220021_FA45.vib","False","ATLPOstgreSQL.vm-80402D2020-06-15T220021_FA45.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/16/2020 10:01:38 PM","VMware - Cloudian Immutable","1.8121","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-16T220039_3144.vib","False","ATLPOstgreSQL.vm-80402D2020-06-16T220039_3144.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/17/2020 10:01:34 PM","VMware - Cloudian Immutable","0.1637","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-17T220037_64C1.vib","False","ATLPOstgreSQL.vm-80402D2020-06-17T220037_64C1.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/18/2020 10:01:39 PM","VMware - Cloudian Immutable","0.168","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-18T220037_ECBF.vib","False","ATLPOstgreSQL.vm-80402D2020-06-18T220037_ECBF.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/19/2020 10:01:35 PM","VMware - Cloudian Immutable","0.2523","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-19T220036_620C.vib","False","ATLPOstgreSQL.vm-80402D2020-06-19T220036_620C.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/20/2020 10:01:30 PM","VMware - Cloudian Immutable","11.6963","Full","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-20T220311_8825.vbk","False","ATLPOstgreSQL.vm-80402D2020-06-20T220311_8825.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/21/2020 10:01:26 PM","VMware - Cloudian Immutable","0.1605","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-21T220025_31DD.vib","False","ATLPOstgreSQL.vm-80402D2020-06-21T220025_31DD.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/22/2020 10:01:21 PM","VMware - Cloudian Immutable","0.1635","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-22T220024_E682.vib","False","ATLPOstgreSQL.vm-80402D2020-06-22T220024_E682.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLPOstgreSQL","6/23/2020 10:01:20 PM","VMware - Cloudian Immutable","1.8076","Increment","VMware Backup","ATLPOstgreSQL.vm-80402D2020-06-23T220022_A7A1.vib","False","ATLPOstgreSQL.vm-80402D2020-06-23T220022_A7A1.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLlinuxDBs","6/24/2020 10:01:24 PM","VMware - Cloudian Immutable","0.1673","Increment","VMware Backup","ATLlinuxDBs.vm-80402D2020-06-24T220026_D636.vib","False","ATLlinuxDBs.vm-80402D2020-06-24T220026_D636.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","3/15/2020 10:03:11 PM","VMware - Immutable/Immediate Move","6.4394","Full","VMware Backup","ATLWIKI01.vm-11056D2020-03-21T223139_58C3.vbk","False","ATLWIKI01.vm-11056D2020-03-21T223139_58C3.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/6/2020 10:02:15 PM","VMware - Immutable/Immediate Move","6.5107","Full","VMware Backup","ATLWIKI01.vm-77274D2020-06-06T220401_2588.vbk","False","ATLWIKI01.vm-77274D2020-06-06T220401_2588.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/7/2020 10:02:09 PM","VMware - Immutable/Immediate Move","0.2589","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-07T220040_2BB8.vib","False","ATLWIKI01.vm-77274D2020-06-07T220040_2BB8.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/8/2020 10:04:18 PM","VMware - Immutable/Immediate Move","0.3825","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-08T220037_0EF8.vib","False","ATLWIKI01.vm-77274D2020-06-08T220037_0EF8.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/9/2020 10:02:11 PM","VMware - Immutable/Immediate Move","0.2711","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-09T220021_C307.vib","False","ATLWIKI01.vm-77274D2020-06-09T220021_C307.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/10/2020 10:02:09 PM","VMware - Immutable/Immediate Move","0.1352","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-10T220021_4205.vib","False","ATLWIKI01.vm-77274D2020-06-10T220021_4205.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/11/2020 10:02:19 PM","VMware - Immutable/Immediate Move","0.2811","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-11T220029_1676.vib","False","ATLWIKI01.vm-77274D2020-06-11T220029_1676.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/12/2020 10:16:04 PM","VMware - Immutable/Immediate Move","0.1129","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-12T221507_27CC.vib","False","ATLWIKI01.vm-77274D2020-06-12T221507_27CC.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/13/2020 10:02:27 PM","VMware - Immutable/Immediate Move","6.5019","Full","VMware Backup","ATLWIKI01.vm-77274D2020-06-13T220417_8C51.vbk","False","ATLWIKI01.vm-77274D2020-06-13T220417_8C51.vbk","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/14/2020 10:17:16 PM","VMware - Immutable/Immediate Move","0.1052","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-14T221621_5349.vib","False","ATLWIKI01.vm-77274D2020-06-14T221621_5349.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/15/2020 10:16:39 PM","VMware - Immutable/Immediate Move","0.2824","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-15T221542_1DFD.vib","False","ATLWIKI01.vm-77274D2020-06-15T221542_1DFD.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/16/2020 10:02:47 PM","VMware - Immutable/Immediate Move","0.1088","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-16T220021_38D8.vib","False","ATLWIKI01.vm-77274D2020-06-16T220021_38D8.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/17/2020 10:16:53 PM","VMware - Immutable/Immediate Move","0.5452","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-17T221557_4A19.vib","False","ATLWIKI01.vm-77274D2020-06-17T221557_4A19.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
"ATLWIKI01","6/18/2020 10:16:53 PM","VMware - Immutable/Immediate Move","0.1229","Increment","VMware Backup","ATLWIKI01.vm-77274D2020-06-18T221558_272B.vib","False","ATLWIKI01.vm-77274D2020-06-18T221558_272B.vib","NAS + Azure Blob","c5431661-145b-4b33-9e5f-9b8ded684010"
