"InitiatedBy","SessionName","SessionStartTime","ItemName","ItemSize","SourceName","LogEntryID","LogDetail","LogItemCreationTime","LogItemEndTime","SessionStatus","SessionResult","ProcessedObjects"
"USDEMO\justin.bryant","Exchange restore (Job: Office 365 Suite to Blob - 8/18/2020 6:03:09 PM)","8/18/2020 10:55:30 PM","You've joined the Real Estate group","376238","Jon Snow\Inbox","4","Item You've joined the Real Estate group was opened with warning: Object was not found. The object could be deleted or moved to another folder. (type: IPM.Note.GroupMailbox.WelcomeEmail; source: Jon Snow\Inbox; target: Jon Snow\Inbox)","8/18/2020 11:04:49 PM","8/18/2020 11:04:52 PM","Stopped","Warning","4"
"USDEMO\andy.perkins","Exchange restore (Entire organization - 8/18/2020 6:02:41 PM)","8/18/2020 6:07:58 PM","[Success] HyperV - Replication (3 machines) ","23591","Andy Perkins\Deleted Items","15","Item [Success] HyperV - Replication (3 machines)  was opened successfully (type: IPM.Note; source: Andy Perkins\Deleted Items; target: Andy Perkins\Deleted Items)","8/18/2020 6:15:14 PM","8/18/2020 6:15:14 PM","Stopped","Success","16"
"USDEMO\andy.perkins","Exchange restore (Entire organization - 8/18/2020 6:02:41 PM)","8/18/2020 6:07:58 PM","[Success] HyperV - Replication (3 machines) ","23590","Andy Perkins\Deleted Items","16","Item [Success] HyperV - Replication (3 machines)  was opened successfully (type: IPM.Note; source: Andy Perkins\Deleted Items; target: Andy Perkins\Deleted Items)","8/18/2020 6:15:25 PM","8/18/2020 6:15:25 PM","Stopped","Success","16"
"USDEMO\brett.rauber","Exchange restore (Entire organization - 8/13/2020 6:22:34 PM)","8/14/2020 3:26:10 PM","Jon Snow shared ""Early Life"" with you.","121441","Arya Stark\Inbox","1","Item Jon Snow shared ""Early Life"" with you. was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","8/14/2020 3:28:30 PM","8/14/2020 3:28:30 PM","Stopped","Success","2"
"USDEMO\brett.rauber","Exchange restore (Entire organization - 8/13/2020 6:22:34 PM)","8/14/2020 2:55:40 PM","Jon Snow shared ""Early Life"" with you.","121441","Arya Stark\Inbox","1","Item Jon Snow shared ""Early Life"" with you. was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","8/14/2020 2:57:04 PM","8/14/2020 2:57:04 PM","Stopped","Success","1"
"USDEMO\Esteve.Nobime","Exchange restore (Job: Office 365 Suite to Blob - 8/3/2020 6:01:31 PM)","8/13/2020 3:27:21 PM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","8/13/2020 3:28:36 PM","8/13/2020 3:28:36 PM","Stopped","Success","1"
"USDEMO\Esteve.Nobime","Exchange restore (Job: Office 365 Suite to Blob - 7/21/2020 6:15:28 PM)","8/13/2020 10:55:36 AM","You have been added to a team in Microsoft Teams","117821","Davos Seaworth\Inbox","1","Item You have been added to a team in Microsoft Teams was opened successfully (type: IPM.Note; source: Davos Seaworth\Inbox; target: Davos Seaworth\Inbox)","8/13/2020 10:56:54 AM","8/13/2020 10:56:54 AM","Stopped","Success","1"
"USDEMO\Esteve.Nobime","Exchange restore (Job: Office 365 Suite to Blob - 8/12/2020 6:01:20 PM)","8/13/2020 10:16:05 AM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","8/13/2020 10:17:04 AM","8/13/2020 10:17:04 AM","Stopped","Success","1"
"USDEMO\esteve.nobime","Exchange restore (Job: Office 365 Suite to Blob - 8/9/2020 6:13:18 PM)","8/11/2020 2:21:47 PM","Welcome to MyAnalytics","303623","Arya Stark\Inbox","1","Item Welcome to MyAnalytics was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","8/11/2020 2:22:46 PM","8/11/2020 2:22:47 PM","Stopped","Success","1"
"USDEMO\esteve.nobime","Exchange restore (Entire organization - 8/5/2020 6:01:26 PM)","8/7/2020 4:22:51 PM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","8/7/2020 4:24:12 PM","8/7/2020 4:24:12 PM","Stopped","Success","1"
