BackupJob,VMName,Timestamp,BackupSize(GB),DataSize(GB)
VMware - Linux VMs,ATLISEWEST-LinuxAgent,8/25/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLISECENTRAL-LinuxAgent,8/29/2019 2:00,0.08,0.16
VMware - Linux VMs,ATLOSELATAM-LinuxAgent,8/24/2019 2:00,0.82,20
VMware - Linux VMs,ATLOSECANFED-LinuxAgent,8/25/2019 2:00,0.05,0.08
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/28/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLOSEEAST-LinuxAgent,8/26/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLOSEWEST-LinuxAgent,8/25/2019 2:00,0.05,0.06
VMware - Linux VMs,ATLISEEAST-LinuxAgent,8/25/2019 2:00,0.05,0.08
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,9/4/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSEWEST-LinuxAgent,8/24/2019 2:00,0.84,20
VMware - Linux VMs,ATLOSECANFED-LinuxAgent,8/26/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLISEWEST-LinuxAgent,8/29/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLISEWEST-LinuxAgent,8/28/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/24/2019 2:00,0.83,20
VMware - Linux VMs,ATLOSECANFED-LinuxAgent,8/24/2019 2:00,0.83,20
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/29/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,9/6/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/26/2019 2:00,0.05,0.08
VMware - Linux VMs,ATLISEEAST-LinuxAgent,8/29/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,9/3/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLOSELATAM-LinuxAgent,8/28/2019 2:00,0.05,0.06
VMware - Linux VMs,ATLISECENTRAL-LinuxAgent,8/30/2019 2:22,0.06,0.12
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/27/2019 2:00,0.05,0.06
VMware - Linux VMs,ATLOSEWEST-LinuxAgent,8/28/2019 2:00,0.05,0.06
VMware - Linux VMs,ATLOSECANFED-LinuxAgent,8/27/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSEEAST-LinuxAgent,8/27/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,9/1/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLISECENTRAL-LinuxAgent,8/26/2019 2:00,0.07,0.15
VMware - Linux VMs,ATLOSEEAST-LinuxAgent,8/24/2019 2:00,0.81,20
VMware - Linux VMs,ATLISEEAST-LinuxAgent,8/28/2019 2:00,0.05,0.08
VMware - Linux VMs,ATLOSELATAM-LinuxAgent,8/27/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,9/5/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLOSEWEST-LinuxAgent,8/29/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/31/2019 2:00,0.83,20
VMware - Linux VMs,ATLOSELATAM-LinuxAgent,8/26/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLOSEWEST-LinuxAgent,8/26/2019 2:00,0.05,0.06
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,9/2/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLISEEAST-LinuxAgent,8/24/2019 2:00,0.82,20
VMware - Linux VMs,ATLISECENTRAL-LinuxAgent,8/28/2019 2:00,0.08,0.16
VMware - Linux VMs,ATLOSEWEST-LinuxAgent,8/27/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSELATAM-LinuxAgent,8/25/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSEEAST-LinuxAgent,8/28/2019 2:00,0.05,0.06
VMware - Linux VMs,ATLOSECANFED-LinuxAgent,8/28/2019 2:00,0.05,0.06
VMware - Linux VMs,ATLOSECANFED-LinuxAgent,8/29/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/25/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLISEWEST-LinuxAgent,8/24/2019 2:00,0.83,20
VMware - SQL Server,ATLSQL2016Prod,7/31/2019 14:55,3.02,9.07
VMware - SQL Server,ATLSQL2016Prod,7/29/2019 9:01,18.85,100
