BackupJob,VMName,Timestamp,BackupSize(GB),DataSize(GB)
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 11:00,0.3,0.67
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 0:00,0.03,0.04
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 4:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 18:00,0.04,0.07
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 6:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 0:00,2.96,20
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 3:00,0.06,0.1
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 6:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 3:00,0.06,0.1
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 23:00,0.05,0.11
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 9:48,2.95,20
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 17:00,0.03,0.04
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 19:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 9:42,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 10:00,0.04,0.08
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 9:00,0.06,0.12
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 7:00,0.03,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 21:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 12:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 19:00,0.05,0.08
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 3:00,0.03,0.03
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 20:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 21:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 9:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 20:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 22:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 14:00,0.06,0.12
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 10:00,0.08,0.18
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 6:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 21:00,0.05,0.07
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 1:00,0.05,0.08
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 13:00,0.03,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 22:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 7:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 12:00,0.02,0.01
