"JobName","Result","DataSize(GB)","BackupSize(GB)","DedupRatio","CompressRatio","Date"
"VMware - Veeam Explorers","Failed","8.09","3.6","1.1x","2.1x","7/2/2020 10:00:08 PM"
"VMware - Veeam Explorers","Success","26.91","6.54","1x","4.2x","7/2/2020 10:20:45 PM"
"VMware - Veeam Explorers","Failed","8.37","3.76","1.1x","2.1x","7/3/2020 10:00:17 PM"
"VMware - Veeam Explorers","Failed","1.92","0.81","1.1x","2.1x","7/3/2020 10:16:19 PM"
"VMware - Veeam Explorers","Success","24.07","5.19","1x","4.5x","7/3/2020 10:29:14 PM"
"VMware - Veeam Explorers","Failed","30.87","8.57","1x","3.6x","7/4/2020 10:00:02 PM"
"VMware - Veeam Explorers","Success","2.31","0.95","1.2x","2x","7/4/2020 10:19:02 PM"
"VMware - Veeam Explorers","Failed","7.86","3.64","1x","2.1x","7/5/2020 10:00:15 PM"
"VMware - Veeam Explorers","Failed","1.8","0.73","1.1x","2.2x","7/5/2020 10:16:32 PM"
"VMware - Veeam Explorers","Success","24.17","5.25","1x","4.5x","7/5/2020 10:29:17 PM"
"VMware - Veeam Explorers","Failed","8.07","3.57","1.1x","2.1x","7/6/2020 10:00:01 PM"
"VMware - Veeam Explorers","Success","29.51","6.58","1.1x","4.2x","7/6/2020 10:16:48 PM"
"VMware - Veeam Explorers","Failed","8.2","3.85","1x","2.1x","7/7/2020 10:00:05 PM"
"VMware - Veeam Explorers","Success","27.95","6.38","1x","4.3x","7/7/2020 10:16:09 PM"
"VMware - Veeam Explorers","Failed","7.92","3.6","1x","2.1x","7/8/2020 10:00:12 PM"
"VMware - Veeam Explorers","Failed","2.24","0.99","1.1x","2x","7/8/2020 10:16:10 PM"
"VMware - Veeam Explorers","Success","43.51","8.22","1.1x","5x","7/8/2020 10:29:09 PM"
"VMware - Veeam Explorers","Failed","30","8.38","1x","3.6x","7/9/2020 10:00:09 PM"
"VMware - Veeam Explorers","Success","1.84","0.75","1.1x","2.3x","7/9/2020 10:18:02 PM"
"VMware - Veeam Explorers","Failed","31.33","8.68","1x","3.6x","7/10/2020 10:00:04 PM"
"VMware - Veeam Explorers","Success","2.38","1","1.2x","2x","7/10/2020 10:17:36 PM"
"VMware - Veeam Explorers","Failed","34.94","9.88","1x","3.4x","7/11/2020 10:00:19 PM"
"VMware - Veeam Explorers","Success","1.84","0.74","1.1x","2.3x","7/11/2020 10:18:56 PM"
"VMware - Veeam Explorers","Failed","34.36","9.03","1.1x","3.4x","7/12/2020 10:00:03 PM"
"VMware - Veeam Explorers","Success","2.28","0.85","1.2x","2.2x","7/12/2020 10:18:12 PM"
"VMware - Veeam Explorers","Failed","7.88","3.69","1x","2.1x","7/13/2020 10:00:20 PM"
"VMware - Veeam Explorers","Failed","2.12","0.87","1.1x","2.1x","7/13/2020 10:16:06 PM"
"VMware - Veeam Explorers","Success","25.55","5.63","1x","4.5x","7/13/2020 10:29:10 PM"
"VMware - Veeam Explorers","Failed","8.26","3.84","1x","2.1x","7/14/2020 10:00:09 PM"
"VMware - Veeam Explorers","Success","28.67","6.6","1x","4.2x","7/14/2020 10:16:55 PM"
"VMware - Veeam Explorers","Failed","8.29","3.8","1.1x","2x","7/15/2020 10:00:12 PM"
"VMware - Veeam Explorers","Failed","0","0.02","1x","1x","7/15/2020 10:13:51 PM"
"VMware - Veeam Explorers","Failed","42.87","9.7","1.1x","4.2x","7/15/2020 10:25:54 PM"
"VMware - Veeam Explorers","Failed","0","0","1x","1x","7/15/2020 10:41:28 PM"
"VMware - Veeam Explorers","Failed","8.09","3.7","1x","2.1x","7/16/2020 10:00:21 PM"
"VMware - Veeam Explorers","Failed","0","0.03","1x","1x","7/16/2020 10:27:52 PM"
"VMware - Veeam Explorers","Success","35.24","9.92","1x","3.4x","7/16/2020 10:46:04 PM"
"VMware - Veeam Explorers","Failed","7.75","3.7","1x","2.1x","7/17/2020 10:00:00 PM"
"VMware - Veeam Explorers","Failed","0","0.03","1x","1x","7/17/2020 10:15:32 PM"
"VMware - Veeam Explorers","Success","25.09","5.83","1x","4.2x","7/17/2020 10:27:32 PM"
"VMware - Veeam Explorers","Failed","24.96","5.25","1.1x","4.3x","7/18/2020 10:00:18 PM"
"VMware - Veeam Explorers","Failed","8.34","3.72","1x","2.2x","7/18/2020 10:17:13 PM"
"VMware - Veeam Explorers","Success","2.19","0.81","1.2x","2.2x","7/18/2020 10:30:55 PM"
"VMware - Veeam Explorers","Failed","7.78","3.65","1x","2.1x","7/19/2020 10:00:04 PM"
"VMware - Veeam Explorers","Failed","1.92","0.85","1.1x","2.1x","7/19/2020 10:15:11 PM"
"VMware - Veeam Explorers","Success","22.36","4.82","1x","4.8x","7/19/2020 10:28:16 PM"
"VMware - Veeam Explorers","Failed","7.94","3.72","1x","2.1x","7/20/2020 10:00:17 PM"
"VMware - Veeam Explorers","Failed","0","0.03","1x","1x","7/20/2020 10:16:03 PM"
"VMware - Veeam Explorers","Success","24.62","5.65","1x","4.3x","7/20/2020 10:28:01 PM"
"VMware - Veeam Explorers","Failed","8.28","3.85","1.1x","2x","7/21/2020 10:00:03 PM"
"VMware - Veeam Explorers","Failed","25.67","5.88","1x","4.3x","7/21/2020 10:16:18 PM"
"VMware - Veeam Explorers","Success","2.05","0.85","1.1x","2.2x","7/21/2020 10:31:16 PM"
"VMware - Veeam Explorers","Failed","8.16","3.59","1x","2.2x","7/22/2020 10:00:18 PM"
"VMware - Veeam Explorers","Failed","0","0.03","1x","1x","7/22/2020 10:16:11 PM"
"VMware - Veeam Explorers","Success","28.91","6.02","1.1x","4.3x","7/22/2020 10:28:11 PM"
"VMware - Veeam Explorers","Failed","7.35","3.29","1.1x","2.1x","7/23/2020 10:00:16 PM"
"VMware - Veeam Explorers","Failed","0","0.03","1x","1x","7/23/2020 10:16:34 PM"
"VMware - Veeam Explorers","Success","26.25","6.51","1x","4x","7/23/2020 10:28:36 PM"
"VMware - Veeam Explorers","Failed","7.95","3.55","1x","2.2x","7/24/2020 10:00:13 PM"
"VMware - Veeam Explorers","Success","27.09","6.09","1.1x","4.2x","7/24/2020 10:27:43 PM"
"VMware - Veeam Explorers","Failed","22.45","4.92","1x","4.5x","7/25/2020 10:00:18 PM"
"VMware - Veeam Explorers","Success","10.15","4.42","1x","2.2x","7/25/2020 10:16:35 PM"
"VMware - Veeam Explorers","Failed","9.67","4.14","1.1x","2.2x","7/26/2020 10:00:01 PM"
"VMware - Veeam Explorers","Failed","0","0.02","1x","1x","7/26/2020 10:15:04 PM"
"VMware - Veeam Explorers","Success","22.43","5","1x","4.5x","7/26/2020 10:27:02 PM"
"VMware - Veeam Explorers","Failed","7.75","3.54","1x","2.1x","7/27/2020 10:00:19 PM"
"VMware - Veeam Explorers","Success","25.03","6.16","1x","4.2x","7/27/2020 10:25:25 PM"
"VMware - Veeam Explorers","Failed","31.07","8.78","1x","3.6x","7/28/2020 10:00:12 PM"
"VMware - Veeam Explorers","Warning","2.44","0.95","1.2x","2.1x","7/28/2020 10:18:54 PM"
"VMware - Veeam Explorers","Failed","33.15","9.69","1x","3.4x","7/29/2020 10:00:15 PM"
"VMware - Veeam Explorers","Failed","0","0.02","1x","1x","7/29/2020 10:19:09 PM"
"VMware - Veeam Explorers","Failed","0","0.02","1x","1x","7/29/2020 10:31:41 PM"
"VMware - Veeam Explorers","Failed","0","0.02","1x","1x","7/29/2020 10:43:39 PM"
"VMware - Win/Linux - SOBR","Success","1.1","0.34","1.2x","2.8x","8/1/2019 2:00:10 AM"
"VMware - Win/Linux - SOBR","Success","0.59","0.17","1x","3.4x","8/2/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Success","1.12","0.35","1.2x","2.7x","8/3/2019 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","0.64","0.19","1x","3.3x","8/4/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","1.09","0.34","1.2x","2.7x","8/5/2019 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.21","1x","3.3x","8/6/2019 2:00:19 AM"
"VMware - Win/Linux - SOBR","Success","1.1","0.36","1.2x","2.6x","8/7/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.19","1x","3.3x","8/8/2019 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","1.1","0.35","1.2x","2.6x","8/9/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","60","7.61","4.3x","1.8x","8/9/2019 11:43:37 AM"
"VMware - Win/Linux - SOBR","Success","0.56","0.17","1x","3.3x","8/10/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","1.05","0.35","1.2x","2.6x","8/11/2019 2:00:02 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.2","1x","3.2x","8/12/2019 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","1.18","0.35","1.2x","2.8x","8/13/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","0.67","0.2","1x","3.3x","8/14/2019 2:00:10 AM"
"VMware - Win/Linux - SOBR","Success","1.09","0.35","1.2x","2.6x","8/15/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.2","1x","3.2x","8/16/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","1.07","0.35","1.2x","2.6x","8/17/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.21","1x","3.2x","8/18/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.13","0.37","1.2x","2.6x","8/19/2019 2:00:18 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.2","1x","3.2x","8/20/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Success","1.14","0.38","1.2x","2.6x","8/21/2019 2:00:07 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.2","1x","3.2x","8/22/2019 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","1.1","0.38","1.1x","2.5x","8/23/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.2","1.1x","3.2x","8/24/2019 2:00:02 AM"
"VMware - Win/Linux - SOBR","Success","1.1","0.37","1.2x","2.6x","8/25/2019 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","0.62","0.19","1x","3.2x","8/25/2019 5:45:04 PM"
"VMware - Win/Linux - SOBR","Success","0.54","0.17","1.1x","2.9x","8/26/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","1.13","0.38","1.2x","2.6x","8/27/2019 2:00:18 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.22","1x","3x","8/28/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","1.07","0.34","1.2x","2.6x","8/29/2019 2:00:03 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.22","1x","3x","8/30/2019 2:00:55 AM"
"VMware - Win/Linux - SOBR","Success","2.12","0.43","1x","4.8x","8/31/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","0.64","0.19","1x","3.3x","9/1/2019 2:00:22 AM"
"VMware - Win/Linux - SOBR","Success","2.09","0.32","2.3x","2.9x","9/2/2019 2:00:04 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.2","1x","3.3x","9/3/2019 2:00:18 AM"
"VMware - Win/Linux - SOBR","Success","1.08","0.32","1.2x","2.8x","9/4/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","0.67","0.2","1x","3.2x","9/5/2019 2:00:02 AM"
"VMware - Win/Linux - SOBR","Success","1.11","0.33","1.2x","2.9x","9/6/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.19","1x","3.3x","9/7/2019 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","1.13","0.34","1.2x","2.9x","9/8/2019 2:00:04 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.2","1x","3.3x","9/9/2019 2:00:17 AM"
"VMware - Win/Linux - SOBR","Success","1.09","0.33","1.2x","2.8x","9/10/2019 2:00:03 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.22","1x","3.1x","9/11/2019 2:00:19 AM"
"VMware - Win/Linux - SOBR","Success","1.13","0.36","1.2x","2.6x","9/12/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.21","1x","3.2x","9/13/2019 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","1.11","0.35","1.2x","2.7x","9/14/2019 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.2","1x","3.3x","9/15/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.13","0.36","1.2x","2.6x","9/16/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.21","1x","3.1x","9/17/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","1.12","0.36","1.2x","2.6x","9/18/2019 2:00:17 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.21","1x","3.1x","9/19/2019 2:00:22 AM"
"VMware - Win/Linux - SOBR","Success","1.11","0.37","1.1x","2.6x","9/20/2019 2:00:17 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.21","1x","3.1x","9/21/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","1.52","0.52","1.1x","2.6x","9/22/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","0.68","0.23","1x","3x","9/23/2019 2:00:01 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.4","1.2x","2.5x","9/24/2019 2:00:22 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.23","1x","3x","9/25/2019 2:00:03 AM"
"VMware - Win/Linux - SOBR","Success","2.05","0.45","1x","4.5x","9/26/2019 2:00:10 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.2","1.1x","3.3x","9/27/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Success","1.95","0.33","2.1x","2.8x","9/28/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.2","1x","3.3x","9/29/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","1.14","0.35","1.2x","2.8x","9/30/2019 2:00:19 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.2","1x","3.3x","10/1/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","1.15","0.36","1.2x","2.7x","10/2/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.19","1x","3.3x","10/3/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","1.15","0.37","1.2x","2.6x","10/4/2019 2:00:10 AM"
"VMware - Win/Linux - SOBR","Success","0.64","0.19","1x","3.3x","10/5/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.39","1.2x","2.6x","10/6/2019 2:00:00 AM"
"VMware - Win/Linux - SOBR","Success","0.65","0.19","1x","3.3x","10/7/2019 2:00:02 AM"
"VMware - Win/Linux - SOBR","Success","1.15","0.38","1.2x","2.6x","10/8/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Success","0.67","0.2","1x","3.3x","10/9/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","1.18","0.39","1.2x","2.6x","10/10/2019 2:00:13 AM"
"VMware - Win/Linux - SOBR","Success","0.68","0.2","1x","3.2x","10/11/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.4","1.2x","2.4x","10/12/2019 2:00:20 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.2","1x","3.2x","10/13/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.39","1.2x","2.5x","10/14/2019 2:00:03 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.2","1x","3.2x","10/15/2019 2:00:03 AM"
"VMware - Win/Linux - SOBR","Success","1.21","0.42","1.2x","2.4x","10/16/2019 2:00:01 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.2","1.1x","3.3x","10/17/2019 2:00:20 AM"
"VMware - Win/Linux - SOBR","Success","1.21","0.42","1.2x","2.4x","10/18/2019 2:00:24 AM"
"VMware - Win/Linux - SOBR","Success","0.72","0.22","1.1x","3x","10/19/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","2.24","0.55","1x","4x","10/20/2019 2:00:13 AM"
"VMware - Win/Linux - SOBR","Success","0.82","0.26","1x","3.1x","10/21/2019 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","2.14","0.39","2x","2.8x","10/22/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.2","1x","3.3x","10/23/2019 2:00:03 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.36","1.2x","2.7x","10/24/2019 2:00:20 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.2","1x","3.3x","10/25/2019 2:00:07 AM"
"VMware - Win/Linux - SOBR","Success","1.5","0.51","1.1x","2.6x","10/26/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.22","1x","3.1x","10/27/2019 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","1.16","0.37","1.2x","2.6x","10/28/2019 2:00:13 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.21","1x","3.1x","10/29/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","1.23","0.41","1.2x","2.5x","10/30/2019 2:00:13 AM"
"VMware - Win/Linux - SOBR","Success","0.67","0.21","1x","3.1x","10/31/2019 2:00:18 AM"
"VMware - Win/Linux - SOBR","Success","1.16","0.38","1.2x","2.6x","11/1/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","0.67","0.21","1x","3.2x","11/2/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","1.16","0.39","1.2x","2.5x","11/3/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.22","1x","3x","11/4/2019 2:00:23 AM"
"VMware - Win/Linux - SOBR","Success","1.16","0.39","1.2x","2.5x","11/5/2019 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.23","1x","3x","11/6/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","1.18","0.39","1.2x","2.5x","11/7/2019 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.23","1x","3x","11/8/2019 2:00:23 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.39","1.2x","2.5x","11/9/2019 2:00:07 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.23","1x","3x","11/10/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","1.21","0.41","1.2x","2.5x","11/11/2019 2:00:10 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.22","1x","3.1x","11/12/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.21","0.4","1.2x","2.5x","11/13/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.23","1x","3x","11/14/2019 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","1.21","0.41","1.2x","2.4x","11/15/2019 2:00:19 AM"
"VMware - Win/Linux - SOBR","Success","0.73","0.24","1x","3x","11/16/2019 2:00:23 AM"
"VMware - Win/Linux - SOBR","Success","1.24","0.41","1.2x","2.5x","11/17/2019 2:00:08 AM"
"VMware - Win/Linux - SOBR","Success","0.73","0.23","1x","3x","11/18/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Failed","1.14","0.39","1.2x","2.4x","11/19/2019 2:00:07 AM"
"VMware - Win/Linux - SOBR","Success","0.05","0.04","1x","1.3x","11/19/2019 2:17:35 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.23","1x","2.9x","11/20/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.17","0.4","1.2x","2.4x","11/21/2019 2:00:07 AM"
"VMware - Win/Linux - SOBR","Success","0.72","0.23","1x","3x","11/22/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.41","1.2x","2.4x","11/23/2019 2:00:01 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.21","1x","3.2x","11/24/2019 2:00:09 AM"
"VMware - Win/Linux - SOBR","Success","1.3","0.43","1.2x","2.4x","11/25/2019 2:00:09 AM"
"VMware - Win/Linux - SOBR","Success","0.74","0.23","1x","3.1x","11/26/2019 2:00:00 AM"
"VMware - Win/Linux - SOBR","Success","1.23","0.41","1.2x","2.5x","11/27/2019 2:00:01 AM"
"VMware - Win/Linux - SOBR","Success","0.72","0.23","1x","3x","11/28/2019 2:00:04 AM"
"VMware - Win/Linux - SOBR","Success","1.2","0.4","1.2x","2.6x","11/29/2019 2:00:04 AM"
"VMware - Win/Linux - SOBR","Success","0.72","0.23","1x","3x","11/30/2019 2:00:13 AM"
"VMware - Win/Linux - SOBR","Success","1.18","0.4","1.2x","2.5x","12/1/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.23","1x","3x","12/2/2019 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.54","0.55","1.1x","2.5x","12/3/2019 2:00:01 AM"
"VMware - Win/Linux - SOBR","Success","0.77","0.25","1.1x","2.9x","12/4/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","1.2","0.42","1.2x","2.4x","12/5/2019 2:00:11 AM"
"VMware - Win/Linux - SOBR","Warning","0.74","0.23","1.1x","2.9x","12/6/2019 2:00:20 AM"
"VMware - Win/Linux - SOBR","Warning","1.19","0.41","1.2x","2.4x","12/7/2019 2:00:20 AM"
"VMware - Win/Linux - SOBR","Warning","0.87","0.35","1x","2.5x","12/8/2019 2:00:01 AM"
"VMware - Win/Linux - SOBR","Warning","3.15","0.78","1.1x","3.8x","12/9/2019 2:00:00 AM"
"VMware - Win/Linux - SOBR","Warning","0.67","0.21","1x","3.2x","12/10/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Warning","2.02","0.37","2x","2.7x","12/11/2019 2:00:07 AM"
"VMware - Win/Linux - SOBR","Warning","0.73","0.21","1.1x","3.3x","12/12/2019 2:00:08 AM"
"VMware - Win/Linux - SOBR","Warning","1.23","0.38","1.2x","2.7x","12/13/2019 2:00:10 AM"
"VMware - Win/Linux - SOBR","Warning","0.72","0.21","1x","3.3x","12/14/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Warning","1.29","0.37","1.2x","2.9x","12/15/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Warning","0.72","0.21","1x","3.2x","12/16/2019 2:00:09 AM"
"VMware - Win/Linux - SOBR","Warning","1.18","0.37","1.2x","2.7x","12/17/2019 2:00:09 AM"
"VMware - Win/Linux - SOBR","Warning","0.65","0.19","1x","3.4x","12/18/2019 2:00:09 AM"
"VMware - Win/Linux - SOBR","Success","1.32","0.37","1.2x","2.9x","12/19/2019 2:00:08 AM"
"VMware - Win/Linux - SOBR","Success","0.67","0.2","1x","3.3x","12/20/2019 2:00:17 AM"
"VMware - Win/Linux - SOBR","Success","1.17","0.37","1.2x","2.6x","12/21/2019 2:00:15 AM"
"VMware - Win/Linux - SOBR","Failed","0.67","0.2","1.1x","3.2x","12/22/2019 2:00:08 AM"
"VMware - Win/Linux - SOBR","Success","0.07","0.05","1x","1.5x","12/22/2019 2:18:42 AM"
"VMware - Win/Linux - SOBR","Success","1.17","0.37","1.2x","2.6x","12/23/2019 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.2","1x","3.2x","12/24/2019 2:00:09 AM"
"VMware - Win/Linux - SOBR","Success","1.32","0.37","1.2x","3x","12/25/2019 2:00:00 AM"
"VMware - Win/Linux - SOBR","Success","0.68","0.2","1x","3.3x","12/26/2019 2:00:09 AM"
"VMware - Win/Linux - SOBR","Success","1.21","0.39","1.2x","2.6x","12/27/2019 2:00:01 AM"
"VMware - Win/Linux - SOBR","Success","0.67","0.2","1x","3.3x","12/28/2019 2:00:04 AM"
"VMware - Win/Linux - SOBR","Success","1.34","0.37","1.2x","3x","12/29/2019 2:00:08 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.21","1x","3.2x","12/30/2019 2:00:05 AM"
"VMware - Win/Linux - SOBR","Success","1.18","0.37","1.2x","2.7x","12/31/2019 2:00:08 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.21","1x","3.2x","1/1/2020 2:00:21 AM"
"VMware - Win/Linux - SOBR","Success","1.26","0.37","1.2x","2.8x","1/2/2020 2:00:22 AM"
"VMware - Win/Linux - SOBR","Success","0.68","0.2","1x","3.3x","1/3/2020 2:00:21 AM"
"VMware - Win/Linux - SOBR","Failed","1.15","0.36","1.2x","2.7x","1/4/2020 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","0.07","0.05","1x","1.5x","1/4/2020 2:18:32 AM"
"VMware - Win/Linux - SOBR","Success","0.69","0.2","1x","3.3x","1/5/2020 2:00:13 AM"
"VMware - Win/Linux - SOBR","Success","1.18","0.38","1.2x","2.6x","1/6/2020 2:00:00 AM"
"VMware - Win/Linux - SOBR","Failed","0.57","0.16","1x","3.6x","1/7/2020 2:00:10 AM"
"VMware - Win/Linux - SOBR","Success","0.06","0.04","1x","1.4x","1/7/2020 2:17:42 AM"
"VMware - Win/Linux - SOBR","Success","1.2","0.39","1.2x","2.6x","1/8/2020 2:00:00 AM"
"VMware - Win/Linux - SOBR","Failed","0.9","0.22","1.2x","3.6x","1/9/2020 2:00:20 AM"
"VMware - Win/Linux - SOBR","Success","0.06","0.04","1x","1.4x","1/9/2020 2:18:35 AM"
"VMware - Win/Linux - SOBR","Success","1.38","0.37","1.2x","3.2x","1/10/2020 2:00:16 AM"
"VMware - Win/Linux - SOBR","Success","0.66","0.19","1x","3.4x","1/11/2020 2:00:17 AM"
"VMware - Win/Linux - SOBR","Success","1.2","0.38","1.2x","2.7x","1/12/2020 2:00:12 AM"
"VMware - Win/Linux - SOBR","Success","1.27","0.5","1.1x","2.3x","1/13/2020 2:00:13 AM"
"VMware - Win/Linux - SOBR","Success","1.29","0.4","1.2x","2.6x","1/14/2020 2:00:10 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.21","1x","3.3x","1/15/2020 2:00:09 AM"
"VMware - Win/Linux - SOBR","Success","1.15","0.38","1.2x","2.6x","1/16/2020 2:00:09 AM"
"VMware - Win/Linux - SOBR","Success","0.68","0.2","1x","3.3x","1/17/2020 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.19","0.38","1.2x","2.6x","1/18/2020 2:00:21 AM"
"VMware - Win/Linux - SOBR","Failed","0.63","0.19","1x","3.3x","1/19/2020 2:00:17 AM"
"VMware - Win/Linux - SOBR","Success","0.07","0.05","1x","1.5x","1/19/2020 2:17:40 AM"
"VMware - Win/Linux - SOBR","Success","1.15","0.37","1.2x","2.6x","1/20/2020 2:00:20 AM"
"VMware - Win/Linux - SOBR","Failed","0.56","0.16","1x","3.4x","1/21/2020 2:00:18 AM"
"VMware - Win/Linux - SOBR","Success","0.05","0.04","1x","1.3x","1/21/2020 2:17:19 AM"
"VMware - Win/Linux - SOBR","Success","1.23","0.41","1.2x","2.6x","1/22/2020 2:00:03 AM"
"VMware - Win/Linux - SOBR","Success","0.71","0.21","1x","3.3x","1/23/2020 2:00:18 AM"
"VMware - Win/Linux - SOBR","Success","1.14","0.37","1.2x","2.6x","1/24/2020 2:00:19 AM"
"VMware - Win/Linux - SOBR","Success","0.7","0.22","1x","3.1x","1/25/2020 2:00:14 AM"
"VMware - Win/Linux - SOBR","Success","1.16","0.37","1.2x","2.6x","1/26/2020 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","0.72","0.22","1x","3.1x","1/27/2020 2:00:06 AM"
"VMware - Win/Linux - SOBR","Success","1.15","0.37","1.2x","2.6x","1/28/2020 2:00:09 AM"
